Breakout-04
      Date,      Time,   Battery,  Fix,       Latitude,      Longitude,    Dp>0.3,    Dp>0.5,    Dp>1.0,    Dp>2.5,    Dp>5.0,   Dp>10.0,   PM1_Std, PM2.5_Std,  PM10_Std,   PM1_Env, PM2.5_Env,  PM10_Env
   21/3/22,    17:4:8,  4.017500,    0,       0.000000,       0.000000,        69,        15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:4:28,  4.018750,    0,       0.000000,       0.000000,        36,         9,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:4:48,  4.018750,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,    17:5:8,  4.018750,    0,       0.000000,       0.000000,        30,        10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:5:28,  4.016250,    0,       0.000000,       0.000000,        18,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:5:48,  4.016250,    0,       0.000000,       0.000000,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,    17:6:8,  4.017500,    0,       0.000000,       0.000000,        18,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:6:28,  4.016250,    0,       0.000000,       0.000000,       135,        41,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:6:48,  4.017500,    0,       0.000000,       0.000000,       477,       148,        21,         3,         3,         0,         3,         3,         5,         3,         3,         5
   21/3/22,    17:7:8,  4.013750,    0,       0.000000,       0.000000,       432,       115,        17,         6,         6,         0,         1,         2,         6,         1,         2,         6
   21/3/22,   17:7:28,  4.016250,    0,       0.000000,       0.000000,       243,        81,        31,         7,         7,         3,         1,         2,         7,         1,         2,         7
   21/3/22,   17:7:48,  4.016250,    0,       0.000000,       0.000000,       300,        96,        24,         3,         3,         0,         0,         1,         2,         0,         1,         2
   21/3/22,    17:8:8,  4.016250,    0,       0.000000,       0.000000,       225,        75,        20,         0,         0,         0,         0,         1,         1,         0,         1,         1
   21/3/22,   17:8:28,  4.015000,    0,       0.000000,       0.000000,       567,       171,        30,         6,         6,         0,         2,         3,         7,         2,         3,         7
   21/3/22,   17:8:48,  4.013750,    0,       0.000000,       0.000000,       174,        58,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,    17:9:8,  4.016250,    0,       0.000000,       0.000000,       255,        79,         9,         0,         0,         0,         1,         1,         1,         1,         1,         1
   21/3/22,   17:9:28,  4.016250,    0,       0.000000,       0.000000,       225,        67,        13,         0,         0,         0,         0,         1,         1,         0,         1,         1
   21/3/22,   17:9:48,  4.016250,    0,       0.000000,       0.000000,       222,        67,        41,         3,         0,         0,         0,         3,         3,         0,         3,         3
   21/3/22,   17:10:8,  4.013750,    0,       0.000000,       0.000000,       177,        47,         3,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:10:28,  4.011250,    0,       0.000000,       0.000000,       114,        38,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:10:48,  4.011250,    0,       0.000000,       0.000000,        90,        22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,   17:11:8,  4.013750,    0,       0.000000,       0.000000,       216,        58,         6,         0,         0,         0,         0,         0,         0,         0,         0,         0
   21/3/22,  17:11:28,  4.013750,    0,       0.000000,       0.000000,        78,        26,         3,         3,         3,         3,         0,         0,         2,         0,         0,         2
   21/3/22,  17:11:48,  4.013750,    0,       0.000000,       0.000000,       135,        41,        12,         3,         3,         3,         0,         0,         2,         0,         0,         2
