S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
7954.8,56.1,194.9,9870.266667,3497.2,7824,149.5,256.1333333,38.33333333,59.63333333,34.6,249,42.9,28.4,2.1,6.3,0,2.1,1681.459259,19987706.48
8156.4,56.8,194.2,9779.8,4153.6,7814,167.6666667,258.4,39,64.06666667,44.13333333,261.3333333,41.2,26.2,1.8,5.4,0,1.8,1725.877778,21145200.82
8358,57.5,193.5,9689.333333,4810,7804,185.8333333,260.6666667,39.66666667,68.5,53.66666667,273.6666667,39.5,24,1.5,4.5,0,1.5,1770.296296,22302695.15
8559.6,58.2,192.8,9598.866667,5466.4,7794,204,262.9333333,40.33333333,72.93333333,63.2,286,37.8,21.8,1.2,3.6,0,1.2,1814.714815,23460189.49
8761.2,58.9,192.1,9508.4,6122.8,7784,222.1666667,265.2,41,77.36666667,72.73333333,298.3333333,36.1,19.6,0.9,2.7,0,0.9,1859.133333,24617683.82
8962.8,59.6,191.4,9417.933333,6779.2,7774,240.3333333,267.4666667,41.66666667,81.8,82.26666667,310.6666667,34.4,17.4,0.6,1.8,0,0.6,1903.551852,25775178.16
9164.4,60.3,190.7,9327.466667,7435.6,7764,258.5,269.7333333,42.33333333,86.23333333,91.8,323,32.7,15.2,0.3,0.9,0,0.3,1947.97037,26932672.49
9366,61,190,9237,8092,7754,276.6666667,272,43,90.66666667,101.3333333,335.3333333,31,13,0,0,0,0,1992.388889,28090166.82
8713,56.2,203.9,8749.1,7669.8,7826.8,305.2,278,48.76666667,97.3,115.3,347.7,31.3,12.6,0,0.9,0,0,1914.214815,26141904.16
8060,51.4,217.8,8261.2,7247.6,7899.6,333.7333333,284,54.53333333,103.9333333,129.2666667,360.0666667,31.6,12.2,0,1.8,0,0,1836.040741,24193641.5
7407,46.6,231.7,7773.3,6825.4,7972.4,362.2666667,290,60.3,110.5666667,143.2333333,372.4333333,31.9,11.8,0,2.7,0,0,1757.866667,22245378.83
6754,41.8,245.6,7285.4,6403.2,8045.2,390.8,296,66.06666667,117.2,157.2,384.8,32.2,11.4,0,3.6,0,0,1679.692593,20297116.17
6101,37,259.5,6797.5,5981,8118,419.3333333,302,71.83333333,123.8333333,171.1666667,397.1666667,32.5,11,0,4.5,0,0,1601.518519,18348853.51
5448,32.2,273.4,6309.6,5558.8,8190.8,447.8666667,308,77.6,130.4666667,185.1333333,409.5333333,32.8,10.6,0,5.4,0,0,1523.344444,16400590.85
4795,27.4,287.3,5821.7,5136.6,8263.6,476.4,314,83.36666667,137.1,199.1,421.9,33.1,10.2,0,6.3,0,0,1445.17037,14452328.18
4142,22.6,301.2,5333.8,4714.4,8336.4,504.9333333,320,89.13333333,143.7333333,213.0666667,434.2666667,33.4,9.8,0,7.2,0,0,1366.996296,12504065.52
3489,17.8,315.1,4845.9,4292.2,8409.2,533.4666667,326,94.9,150.3666667,227.0333333,446.6333333,33.7,9.4,0,8.1,0,0,1288.822222,10555802.86
2836,13,329,4358,3870,8482,562,332,100.6666667,157,241,459,34,9,0,9,0,0,1210.648148,8607540.193
2789.4,13,336.2,4168.3,3570.3,8860.8,571.2,340.1,113.5333333,166.6,236.6,449.2333333,35.1,13.2,0,9.6,0,0,1204.064815,8776760.768
2742.8,13,343.4,3978.6,3270.6,9239.6,580.4,348.2,126.4,176.2,232.2,439.4666667,36.2,17.4,0,10.2,0,0,1197.481481,8945981.343
2696.2,13,350.6,3788.9,2970.9,9618.4,589.6,356.3,139.2666667,185.8,227.8,429.7,37.3,21.6,0,10.8,0,0,1190.898148,9115201.918
2649.6,13,357.8,3599.2,2671.2,9997.2,598.8,364.4,152.1333333,195.4,223.4,419.9333333,38.4,25.8,0,11.4,0,0,1184.314815,9284422.493
2603,13,365,3409.5,2371.5,10376,608,372.5,165,205,219,410.1666667,39.5,30,0,12,0,0,1177.731481,9453643.068
2556.4,13,372.2,3219.8,2071.8,10754.8,617.2,380.6,177.8666667,214.6,214.6,400.4,40.6,34.2,0,12.6,0,0,1171.148148,9622863.643
2509.8,13,379.4,3030.1,1772.1,11133.6,626.4,388.7,190.7333333,224.2,210.2,390.6333333,41.7,38.4,0,13.2,0,0,1164.564815,9792084.218
2463.2,13,386.6,2840.4,1472.4,11512.4,635.6,396.8,203.6,233.8,205.8,380.8666667,42.8,42.6,0,13.8,0,0,1157.981481,9961304.793
2416.6,13,393.8,2650.7,1172.7,11891.2,644.8,404.9,216.4666667,243.4,201.4,371.1,43.9,46.8,0,14.4,0,0,1151.398148,10130525.37
2370,13,401,2461,873,12270,654,413,229.3333333,253,197,361.3333333,45,51,0,15,0,0,1144.814815,10299745.94
2305.5,14.5,414.4,2349.4,856.3,11556.8,652.9,431.4,234.7,256.4,199,351.6,54.6,55.2,0,17,0,1.8,1097.305556,9454514.584
2241,16,427.8,2237.8,839.6,10843.6,651.8,449.8,240.0666667,259.8,201,341.8666667,64.2,59.4,0,19,0,3.6,1049.796296,8609283.224
2176.5,17.5,441.2,2126.2,822.9,10130.4,650.7,468.2,245.4333333,263.2,203,332.1333333,73.8,63.6,0,21,0,5.4,1002.287037,7764051.865
2112,19,454.6,2014.6,806.2,9417.2,649.6,486.6,250.8,266.6,205,322.4,83.4,67.8,0,23,0,7.2,954.7777778,6918820.505
2047.5,20.5,468,1903,789.5,8704,648.5,505,256.1666667,270,207,312.6666667,93,72,0,25,0,9,907.2685185,6073589.145
1983,22,481.4,1791.4,772.8,7990.8,647.4,523.4,261.5333333,273.4,209,302.9333333,102.6,76.2,0,27,0,10.8,859.7592593,5228357.785
1918.5,23.5,494.8,1679.8,756.1,7277.6,646.3,541.8,266.9,276.8,211,293.2,112.2,80.4,0,29,0,12.6,812.25,4383126.426
1854,25,508.2,1568.2,739.4,6564.4,645.2,560.2,272.2666667,280.2,213,283.4666667,121.8,84.6,0,31,0,14.4,764.7407407,3537895.066
1789.5,26.5,521.6,1456.6,722.7,5851.2,644.1,578.6,277.6333333,283.6,215,273.7333333,131.4,88.8,0,33,0,16.2,717.2314815,2692663.706
1725,28,535,1345,706,5138,643,597,283,287,217,264,141,93,0,35,0,18,669.7222222,1847432.347
1673.4,34.7,548,1280,689,4876.4,650.1333333,619,283.2333333,288.8,222.8333333,262.9666667,150.8,97.9,0,34.4,0,18.3,651.6592593,1712258.879
1621.8,41.4,561,1215,672,4614.8,657.2666667,641,283.4666667,290.6,228.6666667,261.9333333,160.6,102.8,0,33.8,0,18.6,633.5962963,1577085.411
1570.2,48.1,574,1150,655,4353.2,664.4,663,283.7,292.4,234.5,260.9,170.4,107.7,0,33.2,0,18.9,615.5333333,1441911.943
1518.6,54.8,587,1085,638,4091.6,671.5333333,685,283.9333333,294.2,240.3333333,259.8666667,180.2,112.6,0,32.6,0,19.2,597.4703704,1306738.475
1467,61.5,600,1020,621,3830,678.6666667,707,284.1666667,296,246.1666667,258.8333333,190,117.5,0,32,0,19.5,579.4074074,1171565.007
1415.4,68.2,613,955,604,3568.4,685.8,729,284.4,297.8,252,257.8,199.8,122.4,0,31.4,0,19.8,561.3444444,1036391.54
1363.8,74.9,626,890,587,3306.8,692.9333333,751,284.6333333,299.6,257.8333333,256.7666667,209.6,127.3,0,30.8,0,20.1,543.2814815,901218.0717
1312.2,81.6,639,825,570,3045.2,700.0666667,773,284.8666667,301.4,263.6666667,255.7333333,219.4,132.2,0,30.2,0,20.4,525.2185185,766044.6039
1260.6,88.3,652,760,553,2783.6,707.2,795,285.1,303.2,269.5,254.7,229.2,137.1,0,29.6,0,20.7,507.1555556,630871.136
1209,95,665,695,536,2522,714.3333333,817,285.3333333,305,275.3333333,253.6666667,239,142,0,29,0,21,489.0925926,495697.6681
1207.9,110,655.7,690.7,551.2,2472.8,708.1,801.8,299.1,307.8,275.2,252.7,246.9,144.5,0.3,26.4,0,19.2,487.2388889,478188.5573
1206.8,125,646.4,686.4,566.4,2423.6,701.8666667,786.6,312.8666667,310.6,275.0666667,251.7333333,254.8,147,0.6,23.8,0,17.4,485.3851852,460679.4465
1205.7,140,637.1,682.1,581.6,2374.4,695.6333333,771.4,326.6333333,313.4,274.9333333,250.7666667,262.7,149.5,0.9,21.2,0,15.6,483.5314815,443170.3357
1204.6,155,627.8,677.8,596.8,2325.2,689.4,756.2,340.4,316.2,274.8,249.8,270.6,152,1.2,18.6,0,13.8,481.6777778,425661.2249
1203.5,170,618.5,673.5,612,2276,683.1666667,741,354.1666667,319,274.6666667,248.8333333,278.5,154.5,1.5,16,0,12,479.8240741,408152.1141
1202.4,185,609.2,669.2,627.2,2226.8,676.9333333,725.8,367.9333333,321.8,274.5333333,247.8666667,286.4,157,1.8,13.4,0,10.2,477.9703704,390643.0033
1201.3,200,599.9,664.9,642.4,2177.6,670.7,710.6,381.7,324.6,274.4,246.9,294.3,159.5,2.1,10.8,0,8.4,476.1166667,373133.8924
1200.2,215,590.6,660.6,657.6,2128.4,664.4666667,695.4,395.4666667,327.4,274.2666667,245.9333333,302.2,162,2.4,8.2,0,6.6,474.262963,355624.7816
1199.1,230,581.3,656.3,672.8,2079.2,658.2333333,680.2,409.2333333,330.2,274.1333333,244.9666667,310.1,164.5,2.7,5.6,0,4.8,472.4092593,338115.6708
1198,245,572,652,688,2030,652,665,423,333,274,244,318,167,3,3,0,3,470.5555556,320606.56
1160.3,247.8,575,628.4,670.9,2051.2,666.3,659.6,423.5,339.0333333,278.4666667,245.1,333.8,185.7,3,3,0.3,2.7,470.7833333,318589.8015
