S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance
2694,104,7774,48054,90,1561,150.3333333,36,19.33333333,13,20,151,9,23,0,10,0,3,3372.87037,162589430.5
2573.8,99.6,7360.1,46238.9,119.8,3182.3,160.1,37.03333333,21.43333333,19.8,20.8,162.8,9,23.9,0.3,9.3,0,4.4,3335.742593,156956632.4
2453.6,95.2,6946.2,44423.8,149.6,4803.6,169.8666667,38.06666667,23.53333333,26.6,21.6,174.6,9,24.8,0.6,8.6,0,5.8,3298.614815,151323834.2
2333.4,90.8,6532.3,42608.7,179.4,6424.9,179.6333333,39.1,25.63333333,33.4,22.4,186.4,9,25.7,0.9,7.9,0,7.2,3261.487037,145691036
2213.2,86.4,6118.4,40793.6,209.2,8046.2,189.4,40.13333333,27.73333333,40.2,23.2,198.2,9,26.6,1.2,7.2,0,8.6,3224.359259,140058237.8
2093,82,5704.5,38978.5,239,9667.5,199.1666667,41.16666667,29.83333333,47,24,210,9,27.5,1.5,6.5,0,10,3187.231481,134425439.6
1972.8,77.6,5290.6,37163.4,268.8,11288.8,208.9333333,42.2,31.93333333,53.8,24.8,221.8,9,28.4,1.8,5.8,0,11.4,3150.103704,128792641.4
1852.6,73.2,4876.7,35348.3,298.6,12910.1,218.7,43.23333333,34.03333333,60.6,25.6,233.6,9,29.3,2.1,5.1,0,12.8,3112.975926,123159843.2
1732.4,68.8,4462.8,33533.2,328.4,14531.4,228.4666667,44.26666667,36.13333333,67.4,26.4,245.4,9,30.2,2.4,4.4,0,14.2,3075.848148,117527045
1612.2,64.4,4048.9,31718.1,358.2,16152.7,238.2333333,45.3,38.23333333,74.2,27.2,257.2,9,31.1,2.7,3.7,0,15.6,3038.72037,111894246.8
1492,60,3635,29903,388,17774,248,46.33333333,40.33333333,81,28,269,9,32,3,3,0,17,3001.592593,106261448.6
1449.6,56,3486.9,28122.7,736.5,18126.8,245.6,45.5,50.3,117.1,41.2,270.8333333,10.13333333,31.3,2.7,3.3,0,17.3,2934.098148,100467148.9
1407.2,52,3338.8,26342.4,1085,18479.6,243.2,44.66666667,60.26666667,153.2,54.4,272.6666667,11.26666667,30.6,2.4,3.6,0,17.6,2866.603704,94672849.26
1364.8,48,3190.7,24562.1,1433.5,18832.4,240.8,43.83333333,70.23333333,189.3,67.6,274.5,12.4,29.9,2.1,3.9,0,17.9,2799.109259,88878549.58
1322.4,44,3042.6,22781.8,1782,19185.2,238.4,43,80.2,225.4,80.8,276.3333333,13.53333333,29.2,1.8,4.2,0,18.2,2731.614815,83084249.89
1280,40,2894.5,21001.5,2130.5,19538,236,42.16666667,90.16666667,261.5,94,278.1666667,14.66666667,28.5,1.5,4.5,0,18.5,2664.12037,77289950.21
1237.6,36,2746.4,19221.2,2479,19890.8,233.6,41.33333333,100.1333333,297.6,107.2,280,15.8,27.8,1.2,4.8,0,18.8,2596.625926,71495650.53
1195.2,32,2598.3,17440.9,2827.5,20243.6,231.2,40.5,110.1,333.7,120.4,281.8333333,16.93333333,27.1,0.9,5.1,0,19.1,2529.131481,65701350.84
1152.8,28,2450.2,15660.6,3176,20596.4,228.8,39.66666667,120.0666667,369.8,133.6,283.6666667,18.06666667,26.4,0.6,5.4,0,19.4,2461.637037,59907051.16
1110.4,24,2302.1,13880.3,3524.5,20949.2,226.4,38.83333333,130.0333333,405.9,146.8,285.5,19.2,25.7,0.3,5.7,0,19.7,2394.142593,54112751.48
1068,20,2154,12100,3873,21302,224,38,140,442,160,287.3333333,20.33333333,25,0,6,0,20,2326.648148,48318451.79
994.4,19.3,2154.4,11816.8,3992.4,20437.2,221.4,37.8,172.9333333,479.1,182.8,289.2,22.4,23.4,0.6,5.4,0,18.9,2270.468519,45591519.78
920.8,18.6,2154.8,11533.6,4111.8,19572.4,218.8,37.6,205.8666667,516.2,205.6,291.0666667,24.46666667,21.8,1.2,4.8,0,17.8,2214.288889,42864587.76
847.2,17.9,2155.2,11250.4,4231.2,18707.6,216.2,37.4,238.8,553.3,228.4,292.9333333,26.53333333,20.2,1.8,4.2,0,16.7,2158.109259,40137655.74
773.6,17.2,2155.6,10967.2,4350.6,17842.8,213.6,37.2,271.7333333,590.4,251.2,294.8,28.6,18.6,2.4,3.6,0,15.6,2101.92963,37410723.72
700,16.5,2156,10684,4470,16978,211,37,304.6666667,627.5,274,296.6666667,30.66666667,17,3,3,0,14.5,2045.75,34683791.71
626.4,15.8,2156.4,10400.8,4589.4,16113.2,208.4,36.8,337.6,664.6,296.8,298.5333333,32.73333333,15.4,3.6,2.4,0,13.4,1989.57037,31956859.69
552.8,15.1,2156.8,10117.6,4708.8,15248.4,205.8,36.6,370.5333333,701.7,319.6,300.4,34.8,13.8,4.2,1.8,0,12.3,1933.390741,29229927.67
479.2,14.4,2157.2,9834.4,4828.2,14383.6,203.2,36.4,403.4666667,738.8,342.4,302.2666667,36.86666667,12.2,4.8,1.2,0,11.2,1877.211111,26502995.66
405.6,13.7,2157.6,9551.2,4947.6,13518.8,200.6,36.2,436.4,775.9,365.2,304.1333333,38.93333333,10.6,5.4,0.6,0,10.1,1821.031481,23776063.64
332,13,2158,9268,5067,12654,198,36,469.3333333,813,388,306,41,9,6,0,0,9,1764.851852,21049131.62
348.2,13.7,2135.7,8960.1,4756,12573.2,205.7,39.8,486.8,802.6,389.6,297.8333333,40.5,8.7,9.2,0,0,8.4,1726.446296,20439047
364.4,14.4,2113.4,8652.2,4445,12492.4,213.4,43.6,504.2666667,792.2,391.2,289.6666667,40,8.4,12.4,0,0,7.8,1688.040741,19828962.37
380.6,15.1,2091.1,8344.3,4134,12411.6,221.1,47.4,521.7333333,781.8,392.8,281.5,39.5,8.1,15.6,0,0,7.2,1649.635185,19218877.75
396.8,15.8,2068.8,8036.4,3823,12330.8,228.8,51.2,539.2,771.4,394.4,273.3333333,39,7.8,18.8,0,0,6.6,1611.22963,18608793.12
413,16.5,2046.5,7728.5,3512,12250,236.5,55,556.6666667,761,396,265.1666667,38.5,7.5,22,0,0,6,1572.824074,17998708.5
429.2,17.2,2024.2,7420.6,3201,12169.2,244.2,58.8,574.1333333,750.6,397.6,257,38,7.2,25.2,0,0,5.4,1534.418519,17388623.87
445.4,17.9,2001.9,7112.7,2890,12088.4,251.9,62.6,591.6,740.2,399.2,248.8333333,37.5,6.9,28.4,0,0,4.8,1496.012963,16778539.25
461.6,18.6,1979.6,6804.8,2579,12007.6,259.6,66.4,609.0666667,729.8,400.8,240.6666667,37,6.6,31.6,0,0,4.2,1457.607407,16168454.62
477.8,19.3,1957.3,6496.9,2268,11926.8,267.3,70.2,626.5333333,719.4,402.4,232.5,36.5,6.3,34.8,0,0,3.6,1419.201852,15558370
