S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-12,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
21.0,0.0,6.3,69.9,11.7,591.5999999999999,0.0,16.5,72.10000000000001,78.39999999999999,33.6,37.599999999999994,86.4,2.7,6.3,105.0,0.0,78.85384615384615,26174.485207100595,159.88,37.375,19.05,28.5
24.0,0.0,7.2,66.6,7.800000000000001,638.4,0.0,17.0,82.4,89.6,32.4,40.4,93.6,1.7999999999999998,7.2,105.0,0.0,84.56923076923077,29212.579881656806,172.52,40.75,18.45,28.5
27.0,0.0,8.1,63.3,3.8999999999999986,685.2,0.0,17.5,92.7,100.8,31.200000000000003,43.2,100.8,0.9000000000000004,8.1,105.0,0.0,90.28461538461539,32250.674556213024,185.16000000000003,44.125,17.85,28.5
30.0,0.0,9.0,60.0,0.0,732.0,0.0,18.0,103.0,112.0,30.0,46.0,108.0,0.0,9.0,105.0,0.0,96.0,35288.769230769234,197.8,47.5,17.25,28.5
37.2,3.6,12.0,55.8,0.0,774.6,0.4,18.0,130.8,153.9,28.8,70.8,121.8,0.9,11.7,95.4,0.0,108.28461538461538,41810.889940828405,219.60000000000002,59.475,17.95,27.0
44.4,7.2,15.0,51.6,0.0,817.2,0.8,18.0,158.6,195.8,27.6,95.6,135.6,1.8,14.4,85.8,0.0,120.56923076923077,48333.010650887576,241.4,71.45,18.65,25.5
51.6,10.8,18.0,47.4,0.0,859.8,1.2000000000000002,18.0,186.4,237.7,26.4,120.4,149.4,2.7,17.1,76.2,0.0,132.85384615384615,54855.13136094675,263.20000000000005,83.425,19.35,24.0
58.8,14.4,21.0,43.2,0.0,902.4,1.6,18.0,214.2,279.6,25.2,145.2,163.2,3.6,19.8,66.6,0.0,145.13846153846154,61377.25207100592,285.0,95.4,20.05,22.5
66.0,18.0,24.0,39.0,0.0,945.0,2.0,18.0,242.0,321.5,24.0,170.0,177.0,4.5,22.5,57.0,0.0,157.4230769230769,67899.37278106509,306.8,107.375,20.75,21.0
73.2,21.6,27.0,34.8,0.0,987.6,2.4000000000000004,18.0,269.8,363.4,22.8,194.8,190.8,5.4,25.200000000000003,47.400000000000006,0.0,169.7076923076923,74421.49349112426,328.6,119.35,21.45,19.5
80.4,25.2,30.0,30.599999999999998,0.0,1030.2,2.8000000000000003,18.0,297.6,405.3,21.6,219.6,204.60000000000002,6.3,27.900000000000002,37.8,0.0,181.9923076923077,80943.61420118343,350.4,131.325,22.15,18.0
87.6,28.8,33.0,26.4,0.0,1072.8,3.2,18.0,325.4,447.2,20.4,244.4,218.4,7.2,30.6,28.200000000000003,0.0,194.27692307692308,87465.7349112426,372.20000000000005,143.3,22.85,16.5
94.8,32.4,36.0,22.199999999999996,0.0,1115.4,3.6,18.0,353.20000000000005,489.09999999999997,19.200000000000003,269.20000000000005,232.2,8.1,33.3,18.60000000000001,0.0,206.56153846153845,93987.85562130177,394.0,155.27499999999998,23.55,15.0
102.0,36.0,39.0,18.0,0.0,1158.0,4.0,18.0,381.0,531.0,18.0,294.0,246.0,9.0,36.0,9.0,0.0,218.84615384615384,100509.97633136094,415.8,167.25,24.25,13.5
121.2,55.2,46.2,32.4,4.8,1182.0,9.9,28.0,381.0,531.0,40.8,319.2,246.0,9.0,36.3,13.5,0.0,230.59230769230768,102209.12307692308,426.6,180.25,35.925,14.7
140.4,74.4,53.4,46.8,9.6,1206.0,15.8,38.0,381.0,531.0,63.6,344.4,246.0,9.0,36.6,18.0,0.0,242.33846153846153,103908.2698224852,437.4,193.25,47.6,15.9
159.6,93.6,60.6,61.2,14.399999999999999,1230.0,21.700000000000003,48.0,381.0,531.0,86.4,369.6,246.0,9.0,36.9,22.5,0.0,254.0846153846154,105607.41656804734,448.2,206.25,59.275000000000006,17.1
