S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 3,Zone 2,Zone 4,
998,0.6,142.8,547.6,30.2,19862.2,102,350.2,20.33333333,275.2,43.8,576.3333333,162,114.6,3,11.2,2,23,1292.503704,32287417.59,4171.706667,175.2190476,570.4,9.8,
893.5,0.3,141.4,610.3,31.6,18830.1,109.5,375.6,21,302.1,48.9,584,173.5,121.8,3,10.6,1,23,1237.844444,28370765.71,3973.92,191.3,517.45,9.4,
789,0,140,673,33,17798,117,401,21.66666667,329,54,591.6666667,185,129,3,10,0,23,1183.185185,24454113.84,3776.133333,207.3809524,464.5,9,
758.2,1.8,136.8,641.6,38.2,18428.5,118.2,391.8,38.3,337.4,55.4,599.4,187.8,173.3,7.5,9.3,0,20.7,1219.122222,25553640.95,3915.36,204.9857143,447.5,9.375,
727.4,3.6,133.6,610.2,43.4,19059,119.4,382.6,54.93333333,345.8,56.8,607.1333333,190.6,217.6,12,8.6,0,18.4,1255.059259,26653168.07,4054.586667,202.5904762,430.5,9.75,
696.6,5.4,130.4,578.8,48.6,19689.5,120.6,373.4,71.56666667,354.2,58.2,614.8666667,193.4,261.9,16.5,7.9,0,16.1,1290.996296,27752695.19,4193.813333,200.1952381,413.5,10.125,
665.8,7.2,127.2,547.4,53.8,20320,121.8,364.2,88.2,362.6,59.6,622.6,196.2,306.2,21,7.2,0,13.8,1326.933333,28852222.31,4333.04,197.8,396.5,10.5,
635,9,124,516,59,20950.5,123,355,104.8333333,371,61,630.3333333,199,350.5,25.5,6.5,0,11.5,1362.87037,29951749.42,4472.266667,195.4047619,379.5,10.875,
604.2,10.8,120.8,484.6,64.2,21581,124.2,345.8,121.4666667,379.4,62.4,638.0666667,201.8,394.8,30,5.8,0,9.2,1398.807407,31051276.54,4611.493333,193.0095238,362.5,11.25,
573.4,12.6,117.6,453.2,69.4,22211.5,125.4,336.6,138.1,387.8,63.8,645.8,204.6,439.1,34.5,5.1,0,6.9,1434.744444,32150803.66,4750.72,190.6142857,345.5,11.625,
542.6,14.4,114.4,421.8,74.6,22842,126.6,327.4,154.7333333,396.2,65.2,653.5333333,207.4,483.4,39,4.4,0,4.6,1470.681481,33250330.78,4889.946667,188.2190476,328.5,12,
