S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-13,S-14,S-15,S-16,S-18,S-19,Average,Variance
36.03,28.71,43.77,35.129999999999995,89.61,21.87,84.86999999999999,51.0,92.94,68.56,52.74,130.78,159.78,106.25999999999999,105.3,30.9,61.33416666666667,1099.897013888889
35.82,28.740000000000002,43.38,35.22,89.34,21.78,84.78,51.0,93.36,68.64,52.56,130.32,160.32,106.44,106.2,30.6,61.245000000000005,1096.8470833333336
35.61,28.77,42.99,35.31,89.07,21.69,84.69,51.0,93.78,68.72,52.38,129.86,160.86,106.62,107.1,30.3,61.155833333333334,1093.7971527777781
35.4,28.8,42.6,35.4,88.8,21.6,84.6,51.0,94.2,68.8,52.2,129.4,161.4,106.8,108.0,30.0,61.06666666666667,1090.7472222222225
35.19,28.830000000000002,42.21,35.489999999999995,88.53,21.51,84.50999999999999,51.0,94.62,68.88,52.02,128.94,161.94,106.97999999999999,108.9,29.7,60.977500000000006,1087.6972916666668
34.98,28.86,41.82,35.58,88.25999999999999,21.42,84.42,51.0,95.04,68.96,51.84,128.48000000000002,162.48000000000002,107.16,109.8,29.4,60.888333333333335,1084.6473611111114
34.769999999999996,28.89,41.43,35.67,87.99,21.330000000000002,84.33,51.0,95.46000000000001,69.03999999999999,51.660000000000004,128.02,163.02,107.34,110.7,29.1,60.799166666666665,1081.5974305555558
34.559999999999995,28.92,41.04,35.76,87.72,21.240000000000002,84.24,51.0,95.88000000000001,69.11999999999999,51.480000000000004,127.56,163.56,107.52,111.6,28.8,60.71,1078.5475000000001
34.349999999999994,28.950000000000003,40.650000000000006,35.849999999999994,87.44999999999999,21.15,84.15,51.0,96.30000000000001,69.19999999999999,51.3,127.1,164.10000000000002,107.69999999999999,112.5,28.5,60.62083333333334,1075.4975694444447
34.14,28.98,40.260000000000005,35.94,87.17999999999999,21.06,84.06,51.0,96.72,69.28,51.12,126.64,164.64000000000001,107.88,113.4,28.2,60.531666666666666,1072.447638888889
33.93,29.01,39.870000000000005,36.03,86.91,20.97,83.97,51.0,97.14,69.36,50.94,126.18,165.18,108.06,114.3,27.9,60.442499999999995,1069.3977083333334
33.72,29.040000000000003,39.480000000000004,36.12,86.64,20.88,83.88,51.0,97.56,69.44,50.76,125.72,165.72,108.24,115.2,27.6,60.35333333333333,1066.3477777777778
33.51,29.07,39.09,36.209999999999994,86.36999999999999,20.79,83.79,51.0,97.98,69.52,50.58,125.25999999999999,166.26000000000002,108.41999999999999,116.1,27.3,60.26416666666667,1063.2978472222223
33.3,29.1,38.7,36.3,86.1,20.7,83.7,51.0,98.4,69.6,50.4,124.8,166.8,108.6,117.0,27.0,60.175,1060.2479166666667
33.089999999999996,29.130000000000003,38.31,36.39,85.83,20.61,83.61,51.0,98.82000000000001,69.67999999999999,50.22,124.34,167.34,108.78,117.9,26.7,60.08583333333333,1057.197986111111
32.879999999999995,29.16,37.92,36.48,85.56,20.52,83.52,51.0,99.24000000000001,69.75999999999999,50.04,123.88,167.88,108.96,118.8,26.4,59.99666666666666,1054.1480555555556
32.669999999999995,29.19,37.53,36.57,85.28999999999999,20.43,83.43,51.0,99.66,69.84,49.86,123.42,168.42000000000002,109.14,119.7,26.1,59.9075,1051.098125
32.46,29.22,37.14,36.66,85.02,20.34,83.34,51.0,100.08,69.92,49.68,122.96,168.96,109.32,120.6,25.8,59.81833333333333,1048.0481944444446
32.25,29.25,36.75,36.75,84.75,20.25,83.25,51.0,100.5,70.0,49.5,122.5,169.5,109.5,121.5,25.5,59.729166666666664,1044.998263888889
32.04,29.28,36.36,36.84,84.48,20.16,83.16,51.0,100.92,70.08,49.32,122.04,170.04,109.68,122.4,25.2,59.64,1041.9483333333333
31.83,29.31,35.97,36.93,84.21000000000001,20.07,83.07,51.0,101.34,70.16,49.14,121.58,170.57999999999998,109.86,123.3,24.9,59.55083333333333,1038.8984027777778
31.619999999999997,29.34,35.58,37.02,83.94,19.98,82.98,51.0,101.75999999999999,70.24000000000001,48.96,121.12,171.12,110.04,124.2,24.6,59.461666666666666,1035.8484722222222
31.41,29.369999999999997,35.19,37.11,83.67,19.89,82.89,51.0,102.17999999999999,70.32000000000001,48.78,120.66,171.66,110.22,125.1,24.3,59.372499999999995,1032.7985416666668
31.2,29.4,34.8,37.2,83.4,19.8,82.8,51.0,102.6,70.4,48.6,120.2,172.2,110.4,126.0,24.0,59.28333333333333,1029.7486111111111
