S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5,,,S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,
174,249,150,84,63,201,81,108,42,57,345,45,60,354,99,9,9,30,140.8,10122.56,129,165.75,132.3333333,9,30,,560,0.003163636,0.004527273,0.002727273,0.001527273,0.001145455,0.003654545,0.001472727,0.001963636,0.000763636,0.001036364,0.006272727,0.000818182,0.001090909,0.006436364,0.0018,0.00256
156,174,168,75,93,177,81,78,42,18,264,39,54,300,18,27,0,30,115.8,7098.96,115.5,153,99.33333333,13.5,30,,570,0.002836364,0.003163636,0.003054545,0.001363636,0.001690909,0.003218182,0.001472727,0.001418182,0.000763636,0.000327273,0.0048,0.000709091,0.000981818,0.005454545,0.000327273,0.002105455
129,105,87,42,54,66,183,57,58,18,135,39,81,126,0,27,0,0,78.66666667,2270.222222,85.5,78,77.44444444,13.5,0,,580,0.002345455,0.001909091,0.001581818,0.000763636,0.000981818,0.0012,0.003327273,0.001036364,0.001054545,0.000327273,0.002454545,0.000709091,0.001472727,0.002290909,0,0.001430303
87,234,18,21,36,0,183,129,51,37,135,39,63,102,9,18,9,30,76.26666667,4362.462222,54,72,83.11111111,13.5,30,,590,0.001581818,0.004254545,0.000327273,0.000381818,0.000654545,0,0.003327273,0.002345455,0.000927273,0.000672727,0.002454545,0.000709091,0.001145455,0.001854545,0.000163636,0.001386667
60,195,75,51,57,18,255,129,51,39,78,43,99,93,18,18,42,0,84.06666667,3994.062222,55.5,86.25,89.44444444,30,0,,600,0.001090909,0.003545455,0.001363636,0.000927273,0.001036364,0.000327273,0.004636364,0.002345455,0.000927273,0.000709091,0.001418182,0.000781818,0.0018,0.001690909,0.000327273,0.001528485
123,114,162,351,96,18,126,121,66,42,63,48,99,96,18,0,9,0,102.8666667,6042.515556,237,97.5,75.44444444,4.5,0,,610,0.002236364,0.002072727,0.002945455,0.006381818,0.001745455,0.000327273,0.002290909,0.0022,0.0012,0.000763636,0.001145455,0.000872727,0.0018,0.001745455,0.000327273,0.001870303
144,39,147,96,153,21,159,105,111,30,30,39,105,201,0,0,18,9,92,3556.4,120,90,86.66666667,9,9,,620,0.002618182,0.000709091,0.002672727,0.001745455,0.002781818,0.000381818,0.002890909,0.001909091,0.002018182,0.000545455,0.000545455,0.000709091,0.001909091,0.003654545,0,0.001672727
93,39,78,96,87,9,141,84,111,39,51,30,93,108,9,39,18,0,71.2,1450.16,94.5,53.25,74,28.5,0,,630,0.001690909,0.000709091,0.001418182,0.001745455,0.001581818,0.000163636,0.002563636,0.001527273,0.002018182,0.000709091,0.000927273,0.000545455,0.001690909,0.001963636,0.000163636,0.001294545
69,228,111,27,63,72,111,132,75,39,60,42,18,96,18,48,27,0,77.4,2747.04,48,118.5,65.66666667,37.5,0,,640,0.001254545,0.004145455,0.002018182,0.000490909,0.001145455,0.001309091,0.002018182,0.0024,0.001363636,0.000709091,0.001090909,0.000763636,0.000327273,0.001745455,0.000327273,0.001407273
57,42,105,27,72,171,111,90,18,40,60,54,45,168,51,9,18,9,74.06666667,2040.995556,42,97.5,70.77777778,13.5,9,,650,0.001036364,0.000763636,0.001909091,0.000490909,0.001309091,0.003109091,0.002018182,0.001636364,0.000327273,0.000727273,0.001090909,0.000981818,0.000818182,0.003054545,0.000927273,0.001346667
108,39,39,87,54,120,69,90,18,9,52,42,63,156,9,0,9,0,63.66666667,1660.622222,97.5,63,56.44444444,4.5,0,,660,0.001963636,0.000709091,0.000709091,0.001581818,0.000981818,0.002181818,0.001254545,0.001636364,0.000327273,0.000163636,0.000945455,0.000763636,0.001145455,0.002836364,0.000163636,0.001157576
78,57,27,18,327,72,81,111,42,9,108,30,63,93,18,0,9,0,75.6,5533.44,48,120.75,61.66666667,4.5,0,,670,0.001418182,0.001036364,0.000490909,0.000327273,0.005945455,0.001309091,0.001472727,0.002018182,0.000763636,0.000163636,0.001963636,0.000545455,0.001145455,0.001690909,0.000327273,0.001374545
144,48,75,75,108,81,81,174,42,78,30,25,78,84,48,0,0,9,78.06666667,1516.862222,109.5,78,71.11111111,0,9,,680,0.002618182,0.000872727,0.001363636,0.001363636,0.001963636,0.001472727,0.001472727,0.003163636,0.000763636,0.001418182,0.000545455,0.000454545,0.001418182,0.001527273,0.000872727,0.001419394
102,171,150,84,60,120,27,129,42,78,30,21,84,72,39,111,9,63,80.6,2005.04,93,125.25,58,60,63,,690,0.001854545,0.003109091,0.002727273,0.001527273,0.001090909,0.002181818,0.000490909,0.002345455,0.000763636,0.001418182,0.000545455,0.000381818,0.001527273,0.001309091,0.000709091,0.001465455
21,39,102,45,60,90,0,78,115,78,30,10,105,27,9,120,42,0,53.93333333,1379.128889,33,72.75,50.22222222,81,0,,700,0.000381818,0.000709091,0.001854545,0.000818182,0.001090909,0.001636364,0,0.001418182,0.002090909,0.001418182,0.000545455,0.000181818,0.001909091,0.000490909,0.000163636,0.000980606
9,48,36,39,54,21,0,102,0,39,30,0,168,18,51,48,9,0,41,1821.2,24,39.75,45.33333333,28.5,0,,710,0.000163636,0.000872727,0.000654545,0.000709091,0.000981818,0.000381818,0,0.001854545,0,0.000709091,0.000545455,0,0.003054545,0.000327273,0.000927273,0.000745455
69,54,36,54,45,39,27,102,0,9,19,4,108,69,42,30,9,0,45.13333333,977.3155556,61.5,43.5,42.22222222,19.5,0,,720,0.001254545,0.000981818,0.000654545,0.000981818,0.000818182,0.000709091,0.000490909,0.001854545,0,0.000163636,0.000345455,7.27E-05,0.001963636,0.001254545,0.000763636,0.000820606
93,87,45,168,0,18,102,81,0,51,18,9,108,108,18,39,33,0,60.4,2379.44,130.5,37.5,55,36,0,,730,0.001690909,0.001581818,0.000818182,0.003054545,0,0.000327273,0.001854545,0.001472727,0,0.000927273,0.000327273,0.000163636,0.001963636,0.001963636,0.000327273,0.001098182
51,99,105,168,39,30,159,135,21,18,18,9,120,48,27,39,33,0,69.8,2873.36,109.5,68.25,61.66666667,36,0,,740,0.000927273,0.0018,0.001909091,0.003054545,0.000709091,0.000545455,0.002890909,0.002454545,0.000381818,0.000327273,0.000327273,0.000163636,0.002181818,0.000872727,0.000490909,0.001269091
114,87,96,18,57,51,120,51,21,9,0,9,54,48,18,9,21,0,50.2,1420.16,66,72.75,36.66666667,15,0,,750,0.002072727,0.001581818,0.001745455,0.000327273,0.001036364,0.000927273,0.002181818,0.000927273,0.000381818,0.000163636,0,0.000163636,0.000981818,0.000872727,0.000327273,0.000912727
123,48,66,27,225,60,63,81,66,9,9,15,45,30,57,120,21,0,61.6,2751.44,75,99.75,41.66666667,70.5,0,,760,0.002236364,0.000872727,0.0012,0.000490909,0.004090909,0.001090909,0.001145455,0.001472727,0.0012,0.000163636,0.000163636,0.000272727,0.000818182,0.000545455,0.001036364,0.00112
81,48,66,9,255,0,63,90,102,42,9,21,0,48,90,0,0,0,61.6,3771.44,45,92.25,51.66666667,0,0,,770,0.001472727,0.000872727,0.0012,0.000163636,0.004636364,0,0.001145455,0.001636364,0.001854545,0.000763636,0.000163636,0.000381818,0,0.000872727,0.001636364,0.00112
90,27,27,0,48,9,40,90,102,75,4,42,18,57,0,69,9,0,41.93333333,1109.928889,45,27.75,47.55555556,39,0,,780,0.001636364,0.000490909,0.000490909,0,0.000872727,0.000163636,0.000727273,0.001636364,0.001854545,0.001363636,7.27E-05,0.000763636,0.000327273,0.001036364,0,0.000762424
39,30,18,33,27,18,63,58,55,27,9,63,18,30,0,69,18,18,32.53333333,358.1155556,36,23.25,35.88888889,43.5,18,,790,0.000709091,0.000545455,0.000327273,0.0006,0.000490909,0.000327273,0.001145455,0.001054545,0.001,0.000490909,0.000163636,0.001145455,0.000327273,0.000545455,0,0.000591515
147,30,48,75,9,9,45,57,36,18,75,52,13,21,0,9,0,9,42.33333333,1303.422222,111,24,35.22222222,4.5,9,,800,0.002672727,0.000545455,0.000872727,0.001363636,0.000163636,0.000163636,0.000818182,0.001036364,0.000654545,0.000327273,0.001363636,0.000945455,0.000236364,0.000381818,0,0.000769697
